ac|en|fi|pt|ru|zh|ja|ko|de
redneck_bonus|Flaming Tires|Monsteriauton Rengas|Cortador de Madeira|Шины Грузовика|木材切割机|樵の斧|우드 커터|Holzschneider
redneck2_bonus|Wood Cutter|Puunleikkaaja|Cortador de madeira|Дровосек|木材切割机|ウッドカッター|우드 커터|Holzfäller
pirate_bonus|Black Beard’s Legacy|||||||
pirate2_bonus|Cannoneer|Tykkimies|Artilheiro|Канонир|炮手|キャノニア|포수|Kanonier
necromancer_bonus|Army of the Dead|Kuolleiden Armeija|Exército dos Mortos|Армия Мертвецов|不死族军队|死者の軍隊|죽은자의 군단|Armee der Toten
necromancer2_bonus|Venom's Poison Mastery|Venomin Myrkkymestaruus|Domínio do veneno de Venom|Мастерство обращения с ядами|毒液的毒药掌握|ヴェノムの毒の習得|베놈의 독 마스터리|Venoms Giftbeherrschung
paladin_bonus|Sacred Hammer|Pyhä Vasara|Martelo Sagrado|Священный Молот|神圣的锤子|聖なるハンマー|신성한 망치|Heiliger Hammer
paladin2_bonus|Lightning Bringer|Ukkosen Iskemä|Atingido por um raio|Гнев Небес|雷击|サンダーストラック|썬더스 트럭|Vom Donner getroffen
viking_bonus|Hurricane|Hurrikaani|Furacão|Ураган|飓风|ハリケーン|허리케인|Hurrikan
viking2_bonus|Defender of Tarethiel|Kapteeni Tarethiel|Capitão Tarethiel|Капитан Таретиэль|塔雷希尔上尉|キャプテンタレシエル|대장 타 레티 엘|Kapitän Tarethiel
nomad_bonus|Eye of Horus|Horuksen Silmä|Olho de Horus|Око Хоруса|荷鲁斯之眼|ホルスの目|호루스의 눈|Auge des Horus
nomad2_bonus|Scimitar Frenzy|Sapelin Vimma|Frenesi de Cimitarra|Безумный Скимитар|弯刀疯狂|シミター狂乱|초승달 모양의 열풍|Scimitar-Wahnsinn
marksman_bonus|Barbed Bolts|Varjoluodit|Balas de sombra|Теневые Снаряды|Shadow Bullets|影の弾丸|그림자 총알|Schattenkugeln
marksman2_bonus|Drone Mechanic|Mekaniikan Mestari|Maestria Mecânica|Мастерство|机械精通|メカニックマスタリー|메카닉 마스터리|Mechanische Meisterschaft
samurai_bonus|Emperor's Last Wish|Keisarin Viimeinen Toive|Último Desejo do Imperador|Последняя Воля Императора|皇帝的最后一个愿望|帝の最後の願い|황제의 마지막 소원|Letzter Wunsch des Imperators
samurai2_bonus|Hidden in the Shadows|Kuurupiilo|Esconde-esconde|Прятки|捉迷藏|かくれんぼ|숨바꼭질|Versteck spiel
marauder_bonus|Deadly Trap|Tappava Ansa|Armadilha Mortal|Смертельная Ловушка|致命的陷阱|デッドリートラップ|치명적 함정|Tödliche Falle
marauder2_bonus|Dominance|Dominointi|Domínio|Доминирование|支配地位|ドミナンス|권세|Dominanz
plaguedoctor_bonus|Disease Medication|Sairauslääkkeet|Medicação para Doenças|Лекарство от всех болезней|疾病的药物|病気の薬|질병 치료약|Krankheitsmedizin
plaguedoctor2_bonus|Bloodletting|Suoneniskentä|Bloodletting|Кровопускание|Bloodletting|Bloodletting|Bloodletting|Bloodletting
demonslayer_bonus|Demon’s Power|Raskas Isku|Impacto Pesado|Сокрушительный Удар|重力影响|ヘビーインパクト|강한 충격|Schwerer Aufprall
whitemage_bonus|Floating Heavens|Kelluvat Taivaat|Paraísos Flutuantes|Парящий в Небесах|浮动的天堂|フローティングヘブン|떠있는 천국|Schwebende Himmel
whitemage2_bonus|Hex Master|Kirous Mestari|Mestre de Hex|Мастер Проклятий|十六进制大师|六角マスター|헥스 마스터|Meister des Hex
pyromancer_bonus|Grave of the Fire Flies|Tuliset Kärpäset|Moscas Ardentes|Огоньки|愤怒的苍蝇|ファイアリーフライ|불타는 파리|Feurige Fliegen
pyromancer2_bonus|Rapid Burn|Nopea Poltto|Queima rápida|Выгорание|快速燃烧|ラピッドバーン|빠른 굽기|Schnelles Brennen
amazon_bonus|Reign of Poison|Myrkyn Valta|Reino de Veneno|Сила Яда|毒药统治|毒の統治|독의 통치|Reich des Giftes
amazon2_bonus|Lightning Glory|Lightning Glory|Lightning Glory|Сияние Молний|Lightning Glory|Lightning Glory|Lightning Glory|Lightning Glory
shaman_bonus|Unleash Elements|Elementaalinen Räjähdys|Explosão Elementar|Элементальный Удар|元素爆炸|エレメンタルブラスト|원소 폭발|Elementare Explosion
shaman2_bonus|Totemic Wrath|Toteeminen Raivo|Ira Totêmica|Гнев Тотемов|图腾之怒|トーテムの怒り|토템 분노|Totemischer Zorn
lancer_bonus|Provocation|Yllytys|Provocação|Провокация|挑衅|挑発|도발|Provokation
lancer2_bonus|For Glory|Kunnian Puolesta|Pela Glória|Слава|为了荣耀|栄光のために|영광을 위해|Für den Ruhm
demonspawn_bonus|Blood Channeling|Verileikkaus|Cirurgia de Sangue|Море Крови|血手术|ブラッドサージェリー|혈액 수술|Blutoperation
demonspawn2_bonus|Ritual of Bones|Luurituaali|Ritual dos Ossos|Ритуал костей|骨头仪式|骨の儀式|뼈의 의식|Knochenritual
swordmaster_bonus|Swordmaster|Miekkamestari|Mestre de espada|Мастер меча|剑士|ソードマスター|검술의 달인|Schwertmeister
travelers_bonus|Adventure|Seikkailu|Aventura|Путешествие|冒险|冒険|모험|Abenteuer
uabel_bonus|Elemental Orb|Elementtipallo|Órbita Elemental|Elemental Orb|元素球|エレメンタルオーブ|Elemental Orb|Elementar-Kugel
battleWorn_bonus|Tactical Advantage|Taktinen etu|Vantagem tática|Tactical Advantage|战术优势|タクティカル・アドバンテージ|Tactical Advantage|Taktischer Vorteil
sheepKings_bonus|The King Has Returned|The King Has Returned|The King Has Returned|The King Has Returned|The King Has Returned|The King Has Returned|The King Has Returned|The King Has Returned
illusionist_bonus|aaaaa|||||||
illusionist2_bonus|aaaaa|||||||
[set_explanations]||||||||
gurag_expl|Every attack grants you additional reduction and every 5 hits you deal a ground slam.|Joka viides hyökkäys iskee edessäsi olevaa maata.|Cada quinto ataque treme a terra à sua frente.|Каждая пятая Базовая Атака вызывает землетрясение|每个第5次攻击将猛砸你面前的土地。|5回目の攻撃ごとに目の前の地面を叩きつける。|매 5번째 공격은 당신의 전방의 땅을 내려칩니다.|Jeder fünfte Angriff zerschmettert die Erde vor dir.
reaper_expl|Gives you a chance to cast a homing scythe that damages enemies, also grants you flying.|Antaa sinulle mahdollisuuden heittää hakeutuvan viikatteen, joka vahingoittaa vihollisia, ja antaa sinulle myös lentämisen.|Dá a você a chance de lançar uma foice teleguiada que causa danos aos inimigos e também permite que você voe.|Дарует шанс сотворить самонаводящуюся косу, дарует Полет.|使您有机会投掷回旋镰刀，以伤害敌人，并让您飞行。|敵にダメージを与えるホーミングサイスをキャストするチャンスを与え、飛行も許可します。|적에게 피해를주는 유도 낫을 시전 할 수있는 기회를 제공하고 비행을 허용합니다.|Gibt dir die Chance, eine Homing-Sense zu wirken, die Feinden Schaden zufügt und dir auch das Fliegen ermöglicht.
anubis_expl|When below 50% health gives you a strong Health Regeneration buff.|Kun elämä on alle 50%, antaa sinulle tehostetun elämänpalautuksen.|Quando abaixo de 50% dos pontos de vida, você recebe um forte bônus de regeneração de pontos de vida.|Когда ваше Здоровье ниже 50%, вы получаете бафф Регенерации Здоровья.|当低于50％时，健康会为您带来强大的生命恢复增益。|体力が50％未満の場合、体力の回復が強力になります。|체력이 50 % 미만일 때 체력을 강화합니다.|Wenn die Gesundheit unter 50% liegt, erhalten Sie einen starken Buff zur Regeneration der Gesundheit.
damien_expl|Gives your auto attacks a 40% chance to cause a Blood Nova on impact.|Antaa hyökkäyksillesi 40% mahdollisuuden aiheuttaa verinovan osuessa.|Dá a seus ataques 40% de chance de causar uma nova de sangue no impacto.|Дарует шанс 40% при Базовой Атаке сотворить Волну Крови.|使您的攻击有40％的几率在撞击时造成鲜血新星。|攻撃時に40％の確率で血の新星をインパクトさせます。|공격시 40 %의 확률로 충격에 피의 신성을 일으킬 수 있습니다.|Gibt Ihren Angriffen eine 40% ige Chance, beim Aufprall eine Nova aus Blut zu verursachen.
karp_expl|Every third attack unleashes a powerful Chain Lightning.|Joka kolmas hyökkäys vapauttaa voimakkaan ketjusalaman.|Cada terceiro ataque desencadeia um poderoso raio de corrente.|При каждой третьей Базовой Атаке сотворяет Цепную Молнию.|每三分之一的攻击都会释放出强大的连锁闪电。|3回の攻撃ごとに強力なチェーンライトニングが発生します。|세 번째 공격마다 강력한 연쇄 번개가 발동됩니다.|Jeder dritte Angriff löst einen mächtigen Kettenblitz aus.
satan_expl|Gives your attacks a 25% chance to apply 75% Armor Break on the target.|Antaa hyökkäyksillesi 25% mahdollisuuden asettaa Suojan Tuhouksen kohteeseen.|Concede aos seus ataques 25% de chance de aplicar Armadura Ruptura no alvo.|Дарует шанс 25% при попадании Атакой наложить Разрушение Брони.|使您的攻击有25％的几率对目标施加护甲断裂。|攻撃に25％の確率でターゲットにアーマーブレイクを適用します。|25 %의 확률로 대상에게 방어구 브레이크를 적용합니다.|Gibt deinen Angriffen eine Chance von 25%, Rüstungsbruch auf das Ziel anzuwenden.
mevius_expl|Summons a Chaos Meteor on the closest enemy every time you cast a spell dealing heavy AOE damage.|Kutsu Kaaosmeteori lähimpään viholliseen joka kerta, kun loihdit jotain.|Evoca um Meteoro do Caos no inimigo mais próximo toda vez que você lança um feitiço.|Сотворяет Метеор Хаоса на ближайшего врага каждый раз, когда сотворяешь Способность.|每次施法时，都会向最近的敌人召唤混沌流星。|呪文を唱えるたびに、最も近い敵にカオス流星を召喚します。|주문을 시전 할 때마다 가장 가까운 적에게 카오스 유성을 소환합니다.|Beschwört jedes Mal, wenn Sie einen Zauber wirken, einen Chaos-Meteor auf den nächsten Feind.
tals_expl|Increases your Magic Find by 100%|Lisää Löytöonnea 100%:lla|Aumenta a sua descoberta mágica em 100%|Увеличивает вашу Удачу на 100%|使你的魔法发现提高100％|魔法の発見を100％増加させます|매직 찾기가 100 % 증가합니다|Erhöht eure magische Entdeckung um 100%
zeus_expl|Gives a chance on auto attack to cast a lightning orb that shocks nearby enemies.|Antaa mahdollisuuden osuessa loihtia ukkosiskun, joka läpäisee vihollisia.|Seu ataque tem chance de disparar um raio que atravessa os inimigos.|Дарует шанс при попадании сотворить Удар Молнии|有机会在被击中时发出闪电，击穿敌人。|敵 を 貫通 する ライトニングストライク を ヒット時 に 確率 で 放つ。|적중할때마다 적을 관통하는 번개를 사용할 기회가 주어집니다.|Verleiht die Chance, bei Treffern einen Blitzschlag zu beschwören, der Gegner durchbohrt.
steve_expl|Gives a chance 10% on auto attack to cast an army of 7 Stickmen!|Antaa mahdollisuuden hyökätessä loitsia armeijan tikku-ukkoja.|Seu ataque tem chance de invocar um exército de Homens-Palito!|Дарует шанс при Базовой Атаке сотворить Армию Человечков|有机会在被攻击时召唤火柴人军队！|攻撃時にスティックメンの群れを確率で放つ！|졸라맨의 군대를 공격 할 기회를 얻습니다!|Verleiht die Chance, beim Angreifen eine Armee von Strichmännchen zu beschwören!
redneck_expl|Toss additional Fire Tires that are larger and deals additional damage and causes heavy burn damage.|Lisää Rengaspalon kokoa 25%:lla ja vauriota 65%:lla.|Aumenta o tamanho do Tiro de Tiro em 25% e o dano em 65%.|Увеличивает размер Горящих Шин на 25% и урон Горящих Шин на 65%|轮胎火的大小增加25％，伤害增加65％。|タイヤの火のサイズを25％増加させ、ダメージを65％増加させます。|타이어 파이어의 크기가 25 % 증가하고 데미지가 65 % 증가합니다.|Erhöht die Größe des Reifenfeuers um 25% und den Schaden um 65%.
redneck2_expl|Firebreak now has 3 charges and increased damage. Gains a charge every 10 seconds.|Tulitauossa on nyt 3 latausta ja se tekee lisättyä vahinkoa|Cessar-fogo agora tem 3 cargas e dano aumentado|Выжигание теперь имеет 3 заряда и наносит увеличенный урон|停火现在有3点冲锋和增加的伤害|停戦は3チャージになり、ダメージが増加します|휴전은 이제 3 회 충전되고 피해가 증가합니다.|Waffenstillstand hat jetzt 3 Ladungen und erhöhten Schaden
pirate_expl|Every attack that hits an enemy adds Attack Power and Ability Power stacking up to 10 times.|||||||
pirate2_expl|Land Ahoy! Now cast's twice, deals additional damage and has a longer cast range.|Land Ahoy! Now cast's twice, deals additional damage and has a longer range.|Land Ahoy! Now cast's twice, deals additional damage and has a longer range.|Талант Земля на Горизонте! теперь сотворяется дважды, имеет увеличенный урон и радиус.|Land Ahoy! Now cast's twice, deals additional damage and has a longer range.|Land Ahoy! Now cast's twice, deals additional damage and has a longer range.|Land Ahoy! Now cast's twice, deals additional damage and has a longer range.|Land Ahoy! Now cast's twice, deals additional damage and has a longer range.
necromancer_expl|Increases minion HP by 100% and Damage by 25%.|Lisää Kätyrien elämää 100%:lla ja vauriota 25%:lla.|Aumenta em 100% a Vida do lacaio e 25% de dano.|Увеличивает Здоровье Приспешников на 100% и урон Приспешников на 25%|召唤生物的生命值提高100％，伤害提高25％。|ミニオンの体力が100％、ダメージが25％増加します。|미니언 체력이 100 %만큼, 데미지가 25 %만큼 증가합니다.|Erhöht die Gesundheit der Diener um 100% und den Schaden um 25%.
necromancer2_expl|Expunge Toxins no longer removes poison stacks on use|Hävitä toksiinit ei enää poista myrkkypinoja vihollisilta|Expurgar toxinas não remove mais pilhas de veneno em uso|Очищение больше не снимает заряды Отравления при сотворении.|去除毒素不再使用时清除毒物堆|毒素を消去しても、使用時に毒のスタックが削除されなくなりました|제거 된 독소는 더 이상 사용시 독 스택을 제거하지 않습니다.|Durch das Auslöschen von Toxinen werden Giftstapel bei Verwendung nicht mehr entfernt
paladin_expl|Holy Hammers now casts an additional Hammer.|Pyhät Vasarat heittää nyt lisävasaran.|Martelos sagrados agora lançam um martelo adicional.|Талант Священный Молот сотворяет дополнительный Молот.|神圣之锤现在可以施放额外的锤子。|ホーリーハンマーは追加のハンマーをキャストします。|성스러운 망치가 이제 추가 망치를 시전합니다.|Heilige Hämmer werfen jetzt einen zusätzlichen Hammer.
paladin2_expl|Lightning Fury can strike single target multiple times and deals 50% increase damage|Lightning Fury can strike single target multiple times and deals 50% increase damage|Lightning Fury can strike single target multiple times and deals 50% increase damage|Неистовство Молний может поразить одну цель множество раз; урон Неистовства Молний увеличен на 50%|Lightning Fury can strike single target multiple times and deals 50% increase damage|Lightning Fury can strike single target multiple times and deals 50% increase damage|Lightning Fury can strike single target multiple times and deals 50% increase damage|Lightning Fury can strike single target multiple times and deals 50% increase damage
viking_expl|Increases Whirlwind radius and damage.|Nostaa Pyörremyrskyn kokoa 25%.|Aumenta o raio do redemoinho em 25%|Увеличивает радиус Вихря на 25%.|旋风半径提高25％。|旋風半径を25％増やします。|소용돌이의 반경이 25 %만큼 증가합니다.|Erhöht den Wirbelwindradius um 25%.
viking2_expl|Changes Shield Bash to Shield Throw, which also chains between enemies|Muuttaa Kilpiläimäsyn Kilpiheitoksi, joka kimpoilee vihollisten välillä|Altera o Golpe de Escudo para Lançamento de Escudo, que salta entre os inimigos|Заменяет Удар Щитом на Бросок Щита, брошенный щит отскакивает в ближайших врагов.|将盾牌重击更改为盾牌投掷，在敌人之间反弹|シールドバッシュをシールドスローに変更します。これは敵の間で跳ね返ります。|실드 배쉬를 방패 던지기로 변경하여 적 사이를 튕 깁니다.|Ändert Schildschlag in Schildwurf, der zwischen Feinden springt
nomad_expl|The Eye of Ra hits 20 nearby enemies and hits isolated targets 9 times.|Ran Silmä osuu 20:een lähellä olevaan viholliseen 3:n sijaan.|O olho de Ra atinge 20 inimigos próximos em vez de 3.|Око Ра поражает 20 ближайших врагов вместо 3.|Ra的眼睛击中附近的20个敌人而不是3个|Raの目は3ではなく20近くの敵を攻撃します。|라의 눈은 3 대신 20 대 근처의 적을 때립니다.|Das Auge von Ra trifft 20 Gegner in der Nähe statt 3.
nomad2_expl|Your Scimitar Throw now throws 2 additional scimitars which also chain between enemies.|Sapeli nyt kimpoilee vihollisten välillä|Sua cimitarra agora está acorrentada entre os inimigos|Скимитар отскакивает в ближайших врагов.|你的弯刀现在在敌人之间锁链|あなたのシミターは今や敵の間をつなぎます|시미 터가 이제 적 사이를 연결합니다.|Ihr Krummsäbel kettet jetzt zwischen Feinden
marksman_expl|Your attacks now pierce, bleed and cause area damage to enemies.|Hyökkäyksesi lävistävät nyt viholliset ja aiheuttavat roiskevaurioita osuessaan.|Seus ataques agora perfuram os inimigos e causam danos de impacto no impacto.|Снаряды Базовой Атаки имеют эффект Пронзания и наносят урон по области.|Your attacks now pierce enemies and cause splash damage on impact.|あなたの攻撃は今や敵を突き刺し、衝撃でスプラッシュダメージを引き起こします。|이제 공격이 적을 관통하고 충격시 스플래시 데미지를 입 힙니다.|Ihre Angriffe durchbohren jetzt Feinde und verursachen beim Aufprall Spritzschaden.
marksman2_expl|Gunner Drones now spawn 4 orbiting drones around the Engineer with increased damage.|Gunner Drones now spawn 4 orbiting drones around the Engineer and increases their damage by 100%.|Gunner Drones now spawn 4 orbiting drones around the Engineer and increases their damage by 100%.|Талант Дроны призывает 4 Дрона вместо 2; Дроны вращаются вокруг Инженера; урон Дронов увеличен на 100%.|Gunner Drones now spawn 4 orbiting drones around the Engineer and increases their damage by 100%.|Gunner Drones now spawn 4 orbiting drones around the Engineer and increases their damage by 100%.|Gunner Drones now spawn 4 orbiting drones around the Engineer and increases their damage by 100%.|Gunner Drones now spawn 4 orbiting drones around the Engineer and increases their damage by 100%.
samurai_expl|Your active abilities now stun enemies, stunned enemies take 50% increased damage from your attacks.|Aktiiviset kykysi nyt tainnuttavat vihollisia, tainnutetut viholliset ottavat hyökkäyksistä 50% lisää vahinkoa.|Suas habilidades ativas agora atordoam inimigos, inimigos atordoados recebem 50% a mais de dano de seus ataques.|Активные Таланты Оглушают врагов. Оглушенные враги получают на 50% больше урона от Атак.|现在，您的主动技能使敌人昏迷，被晕眩的敌人受到的攻击伤害提高50％。|アクティブな能力は敵を気絶させ、気絶した敵は攻撃から50％増加したダメージを受けます。|공격력이 적을 기절시키고 기절 한 적의 공격력이 50 %만큼 증가합니다.|Deine aktiven Fähigkeiten betäuben jetzt Feinde, betäubte Feinde erleiden 50% mehr Schaden durch deine Angriffe.
samurai2_expl|You now gain increased attack and ability damage with increased reduction while affected by Smoke Bomb.|Savupommin vaikutuksen alaisena teet enemmän vahinkoa ja otat vähemmän vahinkoa|Você agora ganha mais dano e redução enquanto é afetado pela Bomba de Fumaça|Находясь по действием эффекта Дымовой Бомбы, Самурай получает увеличение урона и увеличение Снижения Урона.|现在，在受到烟雾弹袭击时，您获得的伤害增加和减少|発煙弾の影響を受けている間、ダメージが増加し、減少するようになりました|이제 연막탄의 영향을받는 동안 피해가 증가하고 감소합니다.|Sie erhalten jetzt erhöhten Schaden und weniger Schaden, wenn Sie von Rauchbombe betroffen sind
marauder_expl|Chain Trap now applies Serrated Chains to the target and Increases the amount of chains created.|Ketjuansa soveltaa nyt harattuja ketjuja kohteeseen ja lisää luomien ketjujen määrää.|Armadilha de Corrente agora aplica Correntes Serrilhadas ao alvo e Aumenta a quantidade de correntes criadas.|Цепная Ловушка теперь накладывает Зубчатые Цепи на врагов, увеличивает количество накладываемых Цепей.|链陷阱现在将锯齿链应用于目标并增加创建的链数量。|チェーントラップは、鋸歯状のチェーンをターゲットに適用し、作成されるチェーンの量を増やします。|체인 트랩은 톱니 모양의 체인을 대상에 적용하고 생성 된 체인의 양을 증가시킵니다.|Kettenfalle wendet jetzt gezackte Ketten auf das Ziel an und erhöht die Anzahl der erstellten Ketten.
marauder2_expl|Every attack unleashes additional projectiles that hooks enemies. Deals 50% increased damage if the target is isolated.|Jokainen hyökkäys ampuu ylimääräisen ammuksen, mikä koukuttaa viholliset luoksesi. Mikäli vihollinen on yksin tekee 50% lisää vahinkoa.|Cada ataque libera projéteis adicionais que prendem os inimigos. Causa 50% a mais de dano se o alvo estiver isolado.|При Базовой Атаке выпускает дополнительные снаряды, которые притягивают врагов. Наносит на 50% больше урона по изолированной цели.|每次攻击都会释放额外的投射物，从而钩住敌人。如果隔离目标，则造成的伤害提高50％。|すべての攻撃は、敵を引っ掛ける追加の発射体を解き放ちます。ターゲットが孤立している場合、ダメージが50％増加します。|모든 공격은 적을 낚아 채는 추가 발사체를 방출합니다. 대상이 고립되면 50 % 증가 된 피해를 입 힙니다.|Jeder Angriff setzt zusätzliche Projektile frei, die Feinde einhaken. Verursacht 50% mehr Schaden, wenn das Ziel isoliert iSt.
plaguedoctor_expl|Your medicine now allows your Plague to stack to 30.|Nyt lääkkeesi aiheuttaa ruton tuottaman vaurion nouseemaan 100%:lla.|Seu medicamento agora faz com que o dano da sua praga aumente em 100%.|Увеличивает урон Чумы на 100%|现在，您的药物会使鼠疫的危害增加100％。|あなたの薬はペストのダメージを100％増加させます。|약으로 인해 전염병의 피해가 100 % 증가합니다.|Ihre Medizin bewirkt jetzt, dass der Schaden Ihrer Pest um 100% zunimmt.
plaguedoctor2_expl|Adds 4 additional knives and they now pierce and deal 50% increased damage.|Lisää 4 puukkoa, jotka lävistävät ja tekevät enemmän vahinkoa|Adiciona 4 facas adicionais e agora perfuram e causam 50% a mais de dano|Бросает 4 дополнительных ножа; ножи имеют Пронзание, ножи наносят на 50% больше урона.|增加4把刀，它们现在会刺穿并造成50％的伤害增加|ナイフを4つ追加すると、貫通してダメージが50％増加します。|칼 4 개를 추가하고 이제 관통하여 50 % 증가 된 피해를줍니다.|Fügt 4 zusätzliche Messer hinzu und diese durchbohren und verursachen 50% mehr Schaden
demonslayer_expl|Increases Bullet Hell damage by 50%. While in Demon Form your melee attacks release waves of darkness upon enemies dealing additional damage.|Lisää Bullet Hell -vaurioita 50%. Demonimuodossa ollessasi lähitaisteluhyökkäykset vapauttavat pimeyden aaltoja vihollisia kohtaan.|Aumenta o dano do Inferno da bala em 50%. Enquanto estiver na forma de demônio, seus ataques corpo a corpo liberam ondas de escuridão sobre os inimigos.|Увеличивает урон Bullet Hell на 50%. В форме демона ваши атаки ближнего боя высвобождают волны тьмы на врагов.|使子弹地狱的伤害提高50％。在恶魔形态下，近战攻击会向敌人释放黑暗之波。|Bullet Hellのダメージが50％増加します。デーモンフォームにいる間、あなたの近接攻撃は敵に闇の波を解放します。|총알 지옥의 공격력이 50 % 증가합니다. Demon Form에있는 동안 근접 공격은 적에게 어둠의 파도를 방출합니다.|Erhöht den Bullet Hell-Schaden um 50%. Während du dich in Dämonenform befindest, setzen deine Nahkampfangriffe Wellen der Dunkelheit auf Feinde frei.
whitemage_expl|Healing Zone's heal tick rate is now increased by 75% but has reduced healing effect.|Parantavan alueen nopeus on noussut 50%:lla.|A taxa de cura da zona de cura agora é aumentada em 50%.|Увеличивает частоту Исцеления Зоны Исцеления на 50%.|现在，治疗区的治疗速度提高了50％。|回復ゾーンの回復ティック率は50％増加します。|힐링 존의 힐 틱 속도가 50 % 증가합니다.|Die Heilungs-Zeckenrate der Heilungszone wurde jetzt um 50% erhöht.
whitemage2_expl|Curse stacks 8 times and has increased AOE.|Curse stacks 8 times and has increased AOE.|Curse stacks 8 times and has increased AOE.|Проклятие складывается до 8 раз и имеет увеличенную область действия.|Curse stacks 8 times and has increased AOE.|Curse stacks 8 times and has increased AOE.|Curse stacks 8 times and has increased AOE.|Curse stacks 8 times and has increased AOE.
pyromancer_expl|You now frequently summon Fireflies that deal heavy aoe damage.|Kutsuet nyt usein Firefliesiä, ja ne aiheuttavat 50% enemmän vahinkoja.|Agora você convoca vaga-lumes com frequência e eles causam 50% mais danos.|Постоянно призывает Огоньки. Огоньки наносят на 50% больше урона.|您现在经常召唤萤火虫，它们造成的伤害额外提高50％。|あなたは頻繁にホタルを召喚し、彼らは50％多くのダメージを与えます。|이제 반딧불이를 자주 소환하고 50 % 더 많은 피해를줍니다.|Du beschwörst jetzt häufig Glühwürmchen und sie verursachen 50% mehr Schaden.
pyromancer2_expl|Pyrokinetic Disorder now does more damage and ticks faster.|Pyrokinetic Disorder now does twice the damage and ticks 75% faster.|Pyrokinetic Disorder now does twice the damage and ticks 75% faster.|Хаотичный Пирокинез наносит в 2 раза больше урона и частота нанесения урона увеличена на 75%.|Pyrokinetic Disorder now does twice the damage and ticks 75% faster.|Pyrokinetic Disorder now does twice the damage and ticks 75% faster.|Pyrokinetic Disorder now does twice the damage and ticks 75% faster.|Pyrokinetic Disorder now does twice the damage and ticks 75% faster.
amazon_expl|You now gain 50% bonus Poison Damage and your poison can now stack to 20.|Saat 50% bonusta myrkkyvaurioihin.|Agora você ganha 25% de dano de veneno bônus.|Дарует 50% увеличение Урона Ядом|您现在会获得50％的额外毒药伤害。|あなたは 50％ のボーナス毒ダメージを得ます。|이제 50% 의 추가 독 피해를 얻습니다.|Sie erhalten jetzt 50% Bonusgiftschaden.
amazon2_expl|Tropical Thunder deals 200% additional damage, has increased AOE and deals chain lightning.|Tropical Thunder deals 200% additional damage and has increased AoE.|Tropical Thunder deals 200% additional damage and has increased AoE.|Тропический Ливень наносит на 200% больше урона и имеет увеличенную область действия.|Tropical Thunder deals 200% additional damage and has increased AoE.|Tropical Thunder deals 200% additional damage and has increased AoE.|Tropical Thunder deals 200% additional damage and has increased AoE.|Tropical Thunder deals 200% additional damage and has increased AoE.
shaman_expl|Your attacks have a 44% chance to cast Elemental Blast and its damage is increased by 50%.|Your attacks have a 44% chance to cast Elemental Blast and its damage is increased by 50%.|Your attacks have a 44% chance to cast Elemental Blast and its damage is increased by 50%.|Шаман имеет шанс 44% при Базовой Атаке сотворить Элементальный Удар. Элементальный Удар наносит на 50% больше урона.|Your attacks have a 44% chance to cast Elemental Blast and its damage is increased by 50%.|Your attacks have a 44% chance to cast Elemental Blast and its damage is increased by 50%.|Your attacks have a 44% chance to cast Elemental Blast and its damage is increased by 50%.|Your attacks have a 44% chance to cast Elemental Blast and its damage is increased by 50%.
shaman2_expl|Totems now attack 50% faster and deal 50% additional damage.|Totems now attack 50% faster.|Totems now attack 50% faster.|Тотемы атакуют на 50% быстрее.|Totems now attack 50% faster.|Totems now attack 50% faster.|Totems now attack 50% faster.|Totems now attack 50% faster.
lancer_expl|Taunt range increased significantly. Taunted enemies are no longer affected by line of sight. You now have phasing.|Hämäyksen kantama kasvoi merkittävästi. Näkölinja ei enää vaikuta hämättyihin vihollisiin.|O alcance da provocação aumentou significativamente. Inimigos provocados não são mais afetados pela linha de visão.|Провоцирует врагов в большем радиусе. Провокация не требует, чтобы цель была в поле зрения Копейщика, то есть Провоцирует, игнорируя препятствия.|嘲讽范围大大增加。被嘲讽的敌人不再受视线影响。|挑発の範囲が大幅に拡大しました。挑発された敵は視線の影響を受けなくなりました。|도발 범위가 크게 증가했습니다. 도발 된 적들은 더 이상 시야에 영향을받지 않습니다.|Der Verspottungsbereich nahm signifikant zu. Verspottete Feinde sind nicht mehr von der Sichtlinie betroffen.
lancer2_expl|Glory now can stack twice and has double the duration.|Kunniassa on nyt 2 pinoa ja tupla kesto|Glória agora chega a 2 e tem o dobro da duração|Слава теперь складывается до 2 раз и имеет удвоенную длительность эффекта.|荣耀现在叠加为2，持续时间延长了一倍|栄光は2にスタックし、持続時間が2倍になります|영광은 이제 2까지 중첩되고 지속 시간이 두 배입니다.|Ruhm stapelt sich jetzt auf 2 und hat die doppelte Dauer
