[main_menu]|en|fi|pt|ru|zh|ja|ko|de
support_144hz|Please make sure your setup supports 144Hz to avoid performance issues.|Varmista, että laitteistosi tukee 144Hz välttääksesi suorituskykyongelmia.|Asegúrese de que su configuración de soportes de 144 Hz para evitar problemas de rendimiento.|Пожалуйста, убедитесь, что ваша система поддерживает частоту 144hz, чтоб избежать проблем с производительностью.|确保您的安装程序支持的144Hz，以避免出现性能问题。|パフォーマンスの問題を避けるために、 必ずセットアップのサポートの 144Hzのを確認します。|성능 문제를 방지하기 위해 반드시 셋업 지원의 144Hz를 확인합니다.|Um Leistungsprobleme zu vermeiden, stellen Sie sicher das ihr Computer 144 Hz unterstützt.
privacy_policy|Privacy Policy|Tietosuojakäytäntö|Política de privacidad|Политика конфиденциальности|隐私政策|個人情報保護方針|개인 정보 정책|Datenschutz-Bestimmungen
privacy_policy_msg1|We have updated our Privacy Policy.|Olemme päivittäneet tietosuojakäytäntömme.|Atualizamos nossa Política de Privacidade.|Мы обновили нашу Политику конфиденциальности.|我们已经更新了我们的隐私政策。|プライバシーポリシーを更新しました。|개인 정보 보호 정책이 업데이트되었습니다.|Wir haben unsere Datenschutzrichtlinien aktualisiert.
privacy_policy_msg2|Please review and accept the changes to continue|Tarkista muutokset ja hyväksy ne jatkaaksesi|Revise e aceite as alterações para continuar|Пожалуйста, просмотрите и примите изменения, чтобы продолжить|请查看并接受更改以继续|続行するには、変更を確認して同意してください|계속하려면 변경 사항을 검토하고 동의하십시오|Bitte überprüfen und akzeptieren Sie die Änderungen, um fortzufahren
privacy_policy_agree|I have read and agree both the EULA and the Privacy Policy.|Olen lukenut ja hyväksyn EULA:n ja tietosuojakäytännön.|He leído y acepto la política de privacidad.|Я прочитал и согласен с Политикой конфиденциальности.|我已阅读并同意隐私政策。|私が読んおよびプライバシーポリシーに同意しています。|본인은 개인 정보 보호 정책에 동의합니다.|Ich habe die Datenschutzerklärung gelesen und bin damit einverstanden.
privacy_policy_must_agree|EULA and Privacy Policy must be agreed to register.|Rekisteröityminen vaatii EULA:n ja tietosuojakäytännön hyväksymisen.|Política de Privacidade deve ser acordado para se registrar.|Для регистрации необходимо согласиться с Политикой конфиденциальности.|隐私政策必须同意注册。|プライバシーポリシーは、登録することで合意しなければなりません。|개인 정보 보호 정책 등록하기로 동의해야합니다.|Der Datenschutzerklärung muss für die Registrierung zugestimmt werden.
privacy_policy_ok|Ok, I accept.|Ok, hyväksyn.|Ok, eu aceito.|Да, я согласен.|好吧，我接受。|承知しました。|알겠습니다|Okay, ich stimme zu.
privacy_policy_not_ok|No, I don't accept.|Ei, en hyväksy.|Não, eu não aceito.|Нет, я не согласен.|不，我不接受。|いいえ、同意しません。|아니요, 동의하지 않습니다.|Nein, ich stimme nicht zu.
privacy_policy_i_agree|I agree|Hyväksyn|Eu aceito|Я согласен.|我接受|承諾します|동의 함|Ich stimme zu
wormhole_error|Error loading wormhole.|Virhe ladatessa madonreikää.|Error agujero de gusano de carga.|Ошибка при загрузке Червоточины.|错误加载虫洞。|読み込みエラーワームホール。|오류로드 웜홀.|Fehler beim Laden des Wurmloches.
wormhole_disabled|Season wormholes are currently disabled.|Kauden madonreiät eivät ole käytössä.|agujeros de gusano temporada están desactivadas.|Червоточины в Сезонных режимах временно отключены.|目前季节虫洞被禁用。|シーズンワームホールは現在無効になっています。|시즌 웜홀은 현재 비활성화됩니다.|Saison Wurmlöcher sind zur Zeit deaktiviert.
wormhole_awarded|You have been awarded 1 Wormhole Level!|Olet ansainnut yhden Madonreiän tason!|Você recebeu 1 nível de buraco de minhoca!|Вы получили 1 уровень червоточины!|您已赢得1虫洞等级！|ワームホールレベル1を獲得しました！|웜홀 레벨 1을 획득했습니다!|Du hast 1 Wurmlochlevel erhalten!
unstable_rift_waves|Unstable Rift Waves:|Epävakaa Repeämä Aallot:|Ondas de Fenda Instáveis:|Нестабильный Разлом, Волны:|不稳定的裂谷波：|不安定なリフト波：|불안정한 균열 파:|Instabile Risswellen:
unstable_rift_cleared|Unstable Rift Cleared|Epävakaa Repeämä Läpäisty|Fenda instável limpa|Нестабильный Разлом зачищен|不稳定的裂痕被清除|不安定なリフトをクリア|불안정한 균열 제거|Instabiler Riss beseitigt
legacy|Legacy|Vanha|Legado|Наследие|遗产|レガシー|유산|Erbe
event|Event|Tapahtuma|Evento|Событие|事件|イベント|행사|Veranstaltung
player_two_press|Player 2 press|Pelaaja 2 paina|Jogador 2, pressione|Игрок 2, нажмите|玩家 2 按|プレイヤー2 プレス|플레이어 2 프레스|Spieler 2 drücke
player_two_join|to join.|liittyäksesi peliin.|para participar.|чтобы присоединиться.|加入游戏。|ゲームに参加する。|게임에 참여합니다.|um beizutreten.
guild_invite|Invite|Kutsu|Convite|Пригласить|邀请|招待する|초대|Gildeneinladung
guild_promote|Promote|Ylennä|Promover|Повысить|促进|プロモート|홍보|Beförderung
guild_demote|Demote|Alenna|Rebaixar|Понизить|降级|降格|강등|Degradieren
guild_kick|Kick|Potki|Expulsar|Выгнать|踢出|叩き出します|내 보내|Kick
guild_remove|Remove|Poista|Retirar|Убрать|去掉|削除する|없애다|Entfernen
guild_rep|Guild Reputation|Kilta Maine|Reputação Aliança|Репутация Гильдии|公会声望|ギルドの評判|길드 평판|Gildenruf
friendly|Friendly|Ystävällinen|Amigáveis|Дружелюбный|友好|優しいです|친한|Freundlich
honored|Honored|Kunnioitettu|Honrado|Уважаемый|荣幸|表彰|수상|Wohlwollend
revered|Revered|Arvostettu|Reverenciado|Достопочтенный|崇敬|尊敬|존경|Respektvoll
exalted|Exalted|Ylistetty|Exaltado|Великий|崇高的|誇らしいです|고귀한|Ehrfürchtig
no_players_found|No players found|Pelaajia ei löytynyt|Nenhum jogador encontrado|Игроки не найдены|找不到任何玩家|選手見つかりません|어떤 선수를 찾을 수 없습니다|Keine Spieler gefunden
error|Error|Virhe|Erro|Ошибка|错误|エラー|오류|Fehler
warning|Warning|Varoitus|Warning|Warning|Warning|Warning|Warning|Warnung
lost_connection|Lost connection|Yhteys katkennut|Conexão perdida|Соединение потеряно|失去了连接|接続が切れました|분실 연결|Verbindung verloren
in_different_zone|is in a different zone!|on eri alueella!|está em uma zona diferente!|находится в другой зоне!|在不同的区域！|別のゾーンにあります！|다른 영역에!|ist in einer anderen Zone!
sell_prompt|Are you sure you want to sell?|Haluatko varmasti myydä?|Tem certeza de que quer vender?|Вы уверены, что хотите продать?|你确定你想卖？|あなたが販売したいですか？|당신은 당신이 판매 하시겠습니까?|Sind Sie sicher, die Sie dies verkaufen möchten?
sell_all_prompt|Are you sure you want to sell all items in this category?|Haluatko varmasti myydä kaikki kategorian ensineet?|Tem certeza de que quer vender todos os itens nesta categoria?|Вы уверены, что хотите продать все предметы в этой категории?|你确定你想卖这个类别中的所有项目？|あなた は、このカテゴリ内 の すべてのアイテム を 販売 して も よろしいです か？|이 카테고리의 모든 상품을 판매 하시겠습니까?|Sind Sie sicher, dass Sie alle Gegenstände in dieser Kategorie verkaufen wollen?
angelic_upgrade_prompt|Are you sure you want to upgrade this item?|Haluatko varmasti päivittää tämän esineen?|Are you sure you want to upgrade this item?|Are you sure you want to upgrade this item?|Are you sure you want to upgrade this item?|Are you sure you want to upgrade this item?|Are you sure you want to upgrade this item?|Sind Sie sich sicher, dass Sie diesen Gegenstand aufrüsten wollen?
attempts_remaining|Attempts remaining:|Yrityksiä jäljellä:|Tentativas restantes:|Осталось попыток:|其余的尝试：|残りの試み：|나머지 시도:|Verbleibende Versuche:
minute|Minute|Minuutti|minuto|Минута|分钟|分|분|Minute
minutes|Minutes|Minuuttia|Minutos|Минут|分钟|分|의사록|Minuten
insert_coin|Insert Coin!|Syötä Kolikko!|Insira Moeda!|Вставьте Монету!|投币！|コインを挿入！|동전을 넣으세요!|Münze Einwerfen!
dig_treasure|Dig for David's treasure!|Kaiva Davidin aarre esiin!|Cavar para o tesouro de David!|Откопай сокровище Давида!|挖掘大卫的宝藏！|デビッドの宝物を探してください！|다윗의 보물을 파헤쳐 라!|Grabe nach Davids Schatz!
dig|Dig|Kaiva|Dig|Dig|Dig|Dig|Dig|Graben
whisper|Whisper|Kuiskaa|Sussurro|Личное сообщение|耳语|ささやき|속삭임|Flüstern
msg_cant_connect_global|Can't connect to the chat server.|Ei voitu yhdistää chat-palvelimeen.|Não foi possível conectar ao servidor de bate-papo.|Не удается подключиться к серверу чата.|无法连接到聊天服务器。|チャットサーバーに接続できません。|채팅 서버에 연결할 수 없습니다.|Es kann keine Verbindung zum Chat-Server hergestellt werden.
msg_cant_connect_guild|Can't connect to guild chat server.|Ei voitu yhdistää killan chat-palvelimeen.|Não é possível ligar para guild servidor de chat.|Не удается подключиться к серверу чата гильдии.|无法连接到公会聊天服务器。|ギルドチャットサーバーに接続できません。|채팅 서버 길드에 연결할 수 없습니다.|Es kann keine Verbindung zum Gildenchat-Server hergestellt werden.
msg_welcome|Welcome to Hero Siege global chat!|Tervetuloa Hero Siegen globaaliin chattiin!|Bem-vindo ao chat global do Hero Siege!|Добро пожаловать в общий чат Hero Siege!|欢迎来到英雄围攻全球聊天室！|Hero Siegeグローバルチャットへようこそ！|Hero Siege 글로벌 채팅에 오신 것을 환영합니다!|Willkommen im globalen Chat von Hero Siege!
msg_help|Type /help for commands.|Näytä komennot kirjoittamalla /help|Digite /help para comandos.|Для просмотра списка доступных команд введите /help|输入 /help 作为命令。|コマンドの場合は /help と入力します。|명령에 /help 를 입력하십시오.|Geben Sie /help für eine Befehlsliste ein.
msg_time|Time|Aika|Tempo|Время|时间|時間|시각|Zeit
msg_date|Date|Päivämäärä|Encontro|Дата|日期|日付|데이트|Datum
msg_parental_control|Parental control is enabled. Communication is not allowed for this user on this device.|Lapsilukko on käytössä. Tämän käyttäjän viestintä ei ole sallittu.|O controle dos pais está ativado. A comunicação não é permitida para este usuário neste dispositivo.|Родительский Контроль включен. Для этого пользователя связь на этом устройстве запрещена.|家长控制已启用。 不允许该用户在此设备上进行通信。|保護者による使用制限が有効になっています。 このユーザーはこのデバイスで通信できません。|자녀 보호 기능이 활성화되었습니다. 이 기기에서이 사용자에 대한 통신이 허용되지 않습니다.|Die Kindersicherung ist aktiviert. Für diesen Benutzer ist auf diesem Gerät keine Kommunikation zulässig.
msg_spam|Too many messages. Wait [time] seconds.|Liian monta viestiä. Odota [time] sekuntia.|Muitas mensagens. Aguarde [time] segundos.|Слишком много сообщений. Подождите [time] секунд.|太多的消息。等待[time]秒。|あまりにも多くのメッセージ。 [time]秒待ちます。|너무 많은 메시지. [time] 초 정도 기다립니다.|Zu viele Nachrichten. [time] Sekunden warten.
msg_not_in_guild|You are not in a guild.|Et kuulu kiltaan.|Você não está em uma aliança.|Вы не в гильдии.|你是不是在一个公会。|あなたはギルドではありません。|당신은 길드에 있지 않습니다.|Sie befinden sich nicht in einer Gilde.
msg_status_low|Your guild status is too low.|Asemasi killassa on liian matala.|Seu status de alianças é muito baixo.|Ваш статус в гильдии недостаточно высок.|你的公会的地位太低。|あなたのギルドステータスが低すぎます。|길드 상태가 너무 낮습니다.|Ihr Gilden Status ist zu niedrig.
msg_playername|player name|pelaajan nimi|nome do jogador|имя игрока|选手姓名|プレーヤの名前|선수 이름|spielername
msg_message|message|viesti|mensagem|сообщение|信息|メッセージ|메시지|botschaft
msg_whisper|to whisper|kuiskataksesi|sussurar|написать личное сообщение|说悄悄话|ささやく|속삭임에|flüstern
msg_reply|to reply to a whisper|vastataksesi kuiskaukseen|para responder a um sussurro|ответить на личное сообщение|回复耳语|ささやきに返信します|속삭임의 질문에 답변|einem flüstern antworten
msg_game_invite|to send a game invite|lähettäksesi kutsun peliin|para enviar um convite de jogo|отправить приглашение в игру|发送游戏邀请|ゲームの招待状を送信するには|게임 초대를 보내려면|um eine Spieleinladung zu senden
msg_guild_invite|to send a guild invite|lähettäksesi kutsun kiltaan|para enviar uma aliança convidá|отправить приглашение в гильдию|发送公会邀请|ギルド招待送信します|길드 초대 보내|eine Gildeneinladung zu senden
msg_mute|to mute a player|mykistääksesi pelaajan|para silenciar um jogador|заглушить игрока|静音玩家|プレイヤーをミュートします|플레이어를 음소거|einen Spieler stummzuschalten
msg_unmute|to unmute a player|poistaaksesi pelaajan mykistyksen|para remover mudo do jogador|снять заглушение|删除玩家的静音|プレイヤーのミュートを削除します|플레이어의 음소거를 제거|einen Spieler entstummen
msg_promoted|You have been promoted!|Sinut on ylennetty!|Você foi promovido!|Вас повысили!|你已被提升为！|あなたが推進されています！|당신은 승진되었다!|Sie wurden befördert!
msg_demoted|You have been demoted.|Sinut on alennettu|Você foi rebaixado.|Вас понизили.|你被降职。|あなたは降格されています。|당신은 강등되었다.|Sie wurden degradiert.
msg_removed|You have been removed from the guild.|Sinut on poistettu killasta.|Você foi removido da aliança.|Вы были исключены из гильдии.|你已经从公会中移除。|あなたはギルドから削除されました。|당신은 길드에서 제거되었습니다.|Sie wurden aus der Gilde entfernt.
msg_voted_reset|Voted for reset|Äänesti uudelleenaloitusta|Votou para reset|Проголосовал за обновление локаций.|投票复位|リセットに投票|리셋 투표|hat für einen Reset gestimmt.
msg_removed_vote|Removed their reset vote.|Poisti äänestyksensä.|Removido o voto de redefinição.|Отозвал голос за обновление локаций.|删除了他们的重置投票。|リセット投票を削除しました。|재설정 투표를 삭제했습니다.|hat ihre Stimme für den Reset zurückgezogen.
msg_invited|has invited you to join game|kutsui sinut peliin|convidou você para participar do jogo|пригласил вас присоединиться к игре|邀请您加入游戏|ゲームに招待されました|게임에 초대했습니다|hat dich zum Spiel eingeladen
msg_joined|joined!|liittyi!|juntou!|присоединился!|加入！|参加しました！|합류했습니다!|hat den Raum betreten!
msg_left|left!|poistui!|desaparecido!|покинул!|不见了！|消えた！|사라졌다!|ist verschwunden!
msg_died|died!|kuoli!|morreu!|умер!|死了！|死亡しました！|사망 한!|ist gestorben!
msg_grave|The final resting place:|Viimeinen lepopaikka:|O local de descanso final:|Место упокоения:|最后的安息之地：|最後の休憩所：|마지막 휴식 장소 :|Die letzte Ruhestätte:
gaben_event|Gaben walks the earth...|Gaben kävelee joukossamme...|Gaben caminha sobre a Terra...|Габен ходит по Земле...|Gaben走地球...|Gabenは地球を歩きます...|Gaben는 지구를 산책...|Gaben geht die Erde...
ping_timeout|Ping timeout.|Ping-aikakatkaisu.|Tempo limite de ping.|Ping timeout. Превышено ожидание.|Ping超时。|Pingタイムアウト。|핑 타임 아웃.|Ping-Zeitüberschreitung.
revive|Revive|Elvytä|Reviver|Возродить|复活|復活|소생|Wiederbeleben
respawn|Respawn|Respawn|Respawn|Respawn|Respawn|Respawn|Respawn|Respawnen
magic_rubies|Magic Rubies|Taikarubiinit|Rubis Mágicas|Волшебные Рубины|魔法红宝石|魔法のルビー|마법 루비|Magische Rubine
black_market|Black Market|Musta Pörssi|Mercado Negro|Черный Рынок|黑市|ブラックマーケット|암시장|Schwarzmarkt
mystery_hat_equip|You just looted a Mystery Hat, would you like to equip it?|Keräsit Mysteerihatun, haluatko pukea sen?|Você só saquearam um chapéu Mistério, que gostaria de equipá-lo?|Вы только что нашли Таинственную Шляпу, хотите ее надеть?|你只是一个洗劫神秘的帽子， 你想装备呢？|あなただけのミステリー帽子を略奪、 あなたがそれを装備したいと思いますか？|당신은 당신이 그것을 장착하고 싶습니다 신비 모자를 약탈?|Sie haben einen mysteriösen Hut gefunden, möchten Sie ihn aufsetzen?
color_picker_current|Current Color|Nykyinen Väri|Cor Atual|Текущий Цвет|当前颜色|現在の色|현재의 색|Aktuelle Farbe
altar_um|Um's Altar|Umin Alttari|Altar de Um|Алтарь Ума|恩祭坛|ウムの祭壇|음 제단|Ums Altar
quest_take_one|Take one!|Ota yksi!|Pegue um!|Выбери один!|拿一个！|一つを取って！|하나를 수행합니다!|Wähle einen!
quest_choose|Choose wisely!|Valitse viisaasti!|Escolha sabiamente!|Выбирай с умом!|做出明智的选择！|賢く選択してください！|현명하게 선택해!|Wähl Klug!
prompt_name_empty|The name field cannot be empty!|Nimi-kenttä ei voi olla tyhjä!|O campo do nome não pode estar vazio!|Поле имени не может быть пустым!|名称字段不能为空！|名前フィールドは空にできません！|이름 필드는 비워 둘 수 없습니다!|Das Namensfeld darf nicht leer sein!
prompt_delete_guild|Are you sure you want to delete this guild?|Haluatko varmasti poistaa tämän killan?|Tem certeza de que deseja excluir esta aliança?|Вы уверены, что хотите удалить эту гильдию?|你确定要删除这个公会？|あなたはこのギルドを削除してもよろしいですか？|이 길드를 삭제 하시겠습니까?|Sind Sie sicher, dass Sie diese Gilde löschen möchten?
prompt_black_market_buy|Are you sure you want to buy?|Haluatko varmasti ostaa?|Tem certeza de que quer comprar?|Вы уверены, что хотите купить?|你确定你要购买？|あなたが購入してもよろしいですか？|당신은 당신이 구매 하시겠습니까?|Sind Sie sich sicher, dass Sie dies kaufen möchten?
page|Page|Sivu|Página|Страница|页|ページ|페이지|Seite
minion_use|Use Mercenary|Käytä Palkkasoturia|Uso de Mercenários|Использовать Наемника|使用雇佣军|傭兵を使用|사용 용병|Söldner Verwernden
minion_buy|Buy Mercenary|Osta Palkkasoturi|Comprar Mercenário|Нанять Наемника|购买雇佣兵|傭兵買います|구매 용병|Söldner Kaufen
minion_melee|Melee|Lähitaistelu|Corpo a Corpo|Ближнего боя|近战|近接|근접|Nahkampf
minion_ranged|Ranged|Kaukotaistelu|Longo Alcance|Дальнего боя|远程|遠隔|원거리|Fernkampf
keyboard_backspace|Backspace|Askelpalautin|Retrocesso|бекспейс|退格|バックスペース|역행 키이|Rücktaste
take_cover|TAKE COVER!|SUOJAUDU!|PROTEJA-SE!|В УКРЫТИЕ !|带套！|カバーを取る！|커버를 받아!|IN DECKUNG!
mystery_chest_hat|Mystery Chest Hat|Mysteeri arkkuhattu|Chapéu Misterioso|Таинственный сундук|神秘胸帽|ミステリーチェストハット|미스터리 가슴 모자|Mysteriöser Truhehut
requires_verification|Requires account verification|Vaatii tilin vahvistamisen|Requer verificação da conta|Требуется верификация аккаунта|需要帐户验证|アカウントの確認が必要|계정 확인이 필요합니다|Erfordert eine Kontobestätigung
requires_steam_item|Requires Steam Item|Vaatii Steam-esineen|Requer Item Steam|Требуется Steam предмет|需要 Steam 物品|Steam アイテムが必要|Steam 아이템 필요|Benötigt Steam-Gegenstand
unavailable|Unavailable|Ei saatavilla|Indisponível|Недоступно|不可用|利用できません|없는|Nicht verfügbar
share_data|Share Gameplay Data|Jaa pelitiedot|Compartilhar dados do jogo|Поделиться игровыми данными|分享游戏数据|ゲームプレイデータの共有|게임 플레이 데이터 공유|Gameplay-Daten teilen
show_border|Show HUD Border|Näytä HUD-reunus|Mostrar borda do HUD|Отображать рамку по краям экрана|显示HUD边框|HUDボーダーを表示|HUD 테두리 표시|HUD-Rand anzeigen
field_of_view|Field of View|Näkökenttä|Campo de visão|Поле зрения|视场|視野|시야|Sichtfeld
joystick_opacity|Joystick Opacity|Joystick läpinäkyvyys|Opacidade do joystick|Прозрачность джойстика|游戏杆不透明度|ジョイスティックの不透明度|조이스틱 불투명도|Joystick-Deckkraft
restore_purchases|Restore Purchases|Palauta ostokset|Restaurar compras|Восстановить Покупки|恢复购买|購入を復元|구매를 복원|Einkäufe wiederherstellen
ascendancy|Ascendancy|Ylemmyys|Ascendência|Превосходство|优势|優勢|승천|Aufstieg
attack_stick|Attack Stick|Hyökkäystatti|Vara de ataque|Стик Атаки|攻击棒|アタックスティック|어택 스틱|Angriffsstick
move_stick|Move Stick|Liiketatti|mova a vara|Стик Передвижения|移动棒|スティックを動かす|스틱 이동|Bewegungsstick
free|Free|Vapaa|Livre|Бесплатно|自由|自由|비어 있는|Frei
magic_mushroom|Magic Mushroom|Taikasieni|Cogumelo Mágico|Волшебный гриб|魔法菇|マジック ・ マッシュルーム|마법 버섯|Magischer Pilz
per|Per|Per|Por|за|每|あたり|당|Pro
inv_merc|Inventory Mercenary|Palkkasoturin reppu|Mercenário de inventário|Инветарь Наемника|库存佣工|インベントリ傭兵|재고 용병|Inventar Söldner
inv_secondary|Inventory Secondary|Toissijainen reppu|Inventário Secundário|Второе Оружие или Щит|二级库存|在庫セカンダリ|재고 보조|Inventar Sekundär
vsync|VSync|Pystytahdistus|VSync|Вертикальная синхронизация|垂直同步|垂直同期|수직 동기|VSync
no_shield|No shield!|Ei kilpeä!|Sem escudo!|Нет щита!|没有盾牌！|シールドなし！|방패가 없습니다!|Kein Schild!
scrap|Scrap|Romuta|Sucatear|Хлам|废料|スクラップ|한조각|Verschrotten
combine|Combine|Yhdistä|Combinar|Скомбинировать|结合|コンバイン|결합시키다|Kombinieren
dual_wield|Dual Wield|Dual Wield|Dual Wield|Dual Wield|Dual Wield|Dual Wield|Dual Wield|Beidhändig
[Item types]||||||||
item_type_helmet|Helmet|Kypärä|Capacete|Шлем|头盔|ヘルメット|헬멧|Helm
item_type_armor|Armor|Panssari|Armaduras|Нагрудник|盔甲|鎧|갑옷|Rüstung
item_type_boots|Boots|Saappaat|Botas|Ботинки|靴子|ブーツ|부츠|Stiefel
item_type_weapon|Weapon|Ase|Arma|Оружие|武器|武器|무기|Waffe
item_type_gloves|Gloves|Hanskat|Luvas|Перчатки|手套|手袋|장갑|Handschuhe
item_type_amulet|Amulet|Amuletti|Amuleto|Амулет|护身符|お守り|부적|Amulett
item_type_charm|Charm|Taikakalu|Charme|Оберег|魅力|チャーム|매력|Charm
item_type_shield|Shield|Kilpi|Escudo|Щит|屏蔽|シールド|방패|Schild
item_type_ring|Ring|Sormus|Anel|Кольцо|环|リング|반지|Ring
item_type_belt|Belt|Vyö|Cinto|Ремень|带|ベルト|벨트|Gürtel
item_type_potion|Potion|Rohto|Porção|Зелье|剂量|薬|물약|Trank
item_type_uber|Special|Erityinen|Especial|Специальный|特别|特殊|특별한|Spezial
[Halloween quests]||||||||
quest_halloween_1|Hello there beauty... Would you kindly help me with something? Oh, aren't you as sweet as a pumpkin pie!|Hei kaunokainen... Olisitko kiltti ja auttaisit minua yhden asian kanssa? Sinähän olet herttainen kuin kurpitsapiiras!|Olá beleza... Você poderia me ajudar com alguma coisa? Oh, você não é tão doce quanto uma torta de abóbora!|Привет, милашка... Поможешь мне с одним делом?|你好美... 请你把和帮助我的东西？ 哦， 是不是你甜如南瓜派！|こんにちは美... う、 あなたはそこに親切にすると何かのヘルプを私に？ ああ、 あなたはパンプキンパイのように甘いようではありません！|안녕하세요 아름다움... 겠습니까 당신이 도움이 내게 뭔가 친절하고? 오, 당신은 호박 파이 달콤한으로하지 않습니다!|Hallo Schönheit... wärst du so nett und hilfst mir mit etwas? Oh, bist du nicht so süß wie ein Kürbiskuchen!
quest_halloween_2|All girls want a present every now and then. Would you kindly get me one?|Kaikki tytöt haluavat lahjan silloin tällöin. Voisitko hankkia minulle sellaisen?|Todas as meninas querem um presente de vez em quando. Você poderia me dar um?|Всем девчонкам нравится иногда получать подарки. А ты мне что-нибудь подаришь?|所有女孩都希望礼物飘飞。 你会得到我吗？|すべての女の子は、 すべての今して存在を求めています。 あなたは私のものを得るだろうか？|모든 여자는 모든 이제 다음 선물을합니다. 당신은 나에게 하나를 얻을 것인가?|Alle Mädchen wollen ab und zu ein Geschenk. Würden du mir eins holen?
quest_halloween_3|I'm sick of those chickens. I can hear them all the way from the frozen land. Pluck their feathers for me, I have an idea.|Olen kyllästynyt noihin kanoihin. Voin kuulla ne jäätyneestä maasta asti. Höyhennä ne puolestani, minulla on idea.|Estou farto dessas galinhas. Eu posso ouvi-los desde a terra congelada. Arranque suas penas para mim, tenho uma ideia.|Как же мне надоели эти курицы... А? Ну курицы! Мне отсюда слышно, как они там на Морозных Землях кудахчут да орут во всё горло! Слушай, а сходи-ка нащипай мне куриных перьев, у меня есть одна идея...|我生病的鸡。 我能听到他们从冷冻土地的所有道路。 摘下自己的羽毛对我来说， 我有一个想法。|私はそれらの鶏の病気です。 私は彼らに凍結された土地からすべての方法を聞くことができます。 私のために彼らの羽を摘み取る、 私はアイデアを持っています。|나는 그 닭의 병입니다. 나는 얼어 붙은 땅에서 모든 방법을들을 수 있습니다. 나를 위해 자신의 깃털을 뽑아, 나는 생각이 있어요.|Ich habe es Satt mit diesen Hühnern. Ich kann sie sogar im von den gefrorenen Ländern noch hören. Zupf ihre Feden für mich, ich habe eine Idee.
quest_halloween_4|Don't you just hate Grim Reaper? He takes care of the dead but now he is trying to control the living. Go show him who is the boss!|Etkö vain vihaa Viikatemiestä? Se pitää huolta kuolleista, mutta nyt se yrittää hallita eläviä. Näytä sille kuka on pomo!|Você não odeia o Ceifador? Ele cuida dos mortos, mas agora ele está tentando controlar os vivos. Vá mostrar quem é o chefe!|Слушай, ты же ненавидишь Смерть? Знаю, она хранит порядок в царстве мертвых, но теперь она хочет захватить и мир живых! Иди и покажи ей, кто тут главный!|你不只是讨厌的死神？ 他照顾死者， 但现在， 他正试图控制生活。 去告诉他谁是老大！|あなただけの死神を憎むないのですか？ 彼は死んだの世話をするが、 今、 彼は生活をコントロールしようとしています。 ゴーは上司が誰であるか、 彼を見ます！|당신은 단지 죽음의 신 싫어하지? 그는 죽음을 담당하지만 지금은 생활을 제어하기 위해 노력하고있다. 이동 보스 누가 그를 보여!|Hast du den Sensenmann nicht auch? Er kümmert sich um die Toten, aber jetzt versucht er die Lebenden zu steuern. Zeigt ihm wer hier der Chef ist!
quest_halloween_5|A lot of interesting creatures live in the desert. I want to study what I could do with them. Or with their body parts, hehe.|Paljon mielenkiintoisia otuksia elää aavikolla. Haluan tutkia mitä voin tehdä niiden kanssa. Tai niiden ruumiin osilla, hehe.|Muitas criaturas interessantes vivem no deserto. Eu quero estudar o que eu poderia fazer com eles. Ou com as partes do corpo, hehe.|Множество интересных созданий обитает в пустыне. Хотелось бы изучить их полностью... ну или по частям... хе-хе...|很多有趣的动物生活在沙漠中。 我想学什么， 我可以与他们无关。 或者用他们的身体部位， 嘿嘿。|面白い生き物の多くは砂漠に住んでいます。 私は彼らと何ができるか勉強したいです。 それとも自分の体の部分と、 笑。|재미있는 생물의 많은 사막에 살고 있습니다. 나는 그들과 함께 무엇을 할 수 있는지 연구하고 싶다. 또는 자신의 신체 부위와, 도니는 다르게.|Viele interessante Geschöpfe leben in der Wüste. Ich möchte studieren, was ich mit ihnen machen könnte. Oder mit ihren Körperteilen, hehe.
quest_halloween_6|Another lord of Death is threatening me. Can you believe that?! I'm just a young beautiful lady. Will you help a lady in need?|Toinenkin kuoleman herra uhkailee minua. Voitko uskoa?! Olen vain nuori kaunis neito. Autatko tätä neitoa avun tarpeessa?|Outro senhor da morte está me ameaçando. Você acredita nisso ?! Eu sou apenas uma jovem bonita. Você vai ajudar uma dama em necessidade?|Еще один Владыка Смерти мне тут угрожает. Поверить не могу! Ты же не оставишь леди в беде?|死亡的另一个主恐吓我。 你相信吗？！ 我只是一个年轻美丽的女人。 你会帮助有需要的女士？|死のもう一つの主が私を脅かしています。 あなたはそれを信じることができます！ 私は若く美しい女性です。 あなたは必要としている女性を助けるだろうか？|죽음의 또 다른 주인은 저를 위협하고있다. 믿을 수 있니?! 난 그냥 젊은 아름 다운 여자입니다. 당신이 필요로하는 여성을 도울 것인가?|Ein anderer Herr des Todes bedroht mir. Kannst du das glauben?! Ich bin nur eine junge schöne Dame. Wirst du einer Dame in Not helfen?
