[talents]|en|fi|pt|ru|zh|ja|ko|de
jotunn_talent_3|Flash Freeze|Flash Freeze|Flash Freeze|Flash Freeze|Flash Freeze|Flash Freeze|Flash Freeze|Flash Freeze
jotunn_talent_4|Orb of Frost|Orb of Frost|Orb of Frost|Orb of Frost|Orb of Frost|Orb of Frost|Orb of Frost|Orb of Frost
jotunn_talent_5|Frozen Hide|Frozen Hide|Frozen Hide|Frozen Hide|Frozen Hide|Frozen Hide|Frozen Hide|Frozen Hide
jotunn_talent_6|Icicles|Icicles|Icicles|Icicles|Icicles|Icicles|Icicles|Icicles
jotunn_talent_7|Portal of Ice|Portal of Ice|Portal of Ice|Portal of Ice|Portal of Ice|Portal of Ice|Portal of Ice|Portal of Ice
jotunn_talent_8|Avatar of Frost|Avatar of Frost|Avatar of Frost|Avatar of Frost|Avatar of Frost|Avatar of Frost|Avatar of Frost|Avatar of Frost
jotunn_talent_9|Blizzard|Blizzard|Blizzard|Blizzard|Blizzard|Blizzard|Blizzard|Blizzard
jotunn_talent_10|Cataclysm|Cataclysm|Cataclysm|Cataclysm|Cataclysm|Cataclysm|Cataclysm|Cataclysm
jotunn_talent_11|Lightning Affinity|Lightning Affinity|Lightning Affinity|Lightning Affinity|Lightning Affinity|Lightning Affinity|Lightning Affinity|Lightning Affinity
jotunn_talent_12|Lightning Polarization|Lightning Polarization|Lightning Polarization|Lightning Polarization|Lightning Polarization|Lightning Polarization|Lightning Polarization|Lightning Polarization
jotunn_talent_13|Ground Stomp|Ground Stomp|Ground Stomp|Ground Stomp|Ground Stomp|Ground Stomp|Ground Stomp|Ground Stomp
jotunn_talent_14|Lightning Shell|Lightning Shell|Lightning Shell|Lightning Shell|Lightning Shell|Lightning Shell|Lightning Shell|Lightning Shell
jotunn_talent_15|Weapon Sweep|Weapon Sweep|Weapon Sweep|Weapon Sweep|Weapon Sweep|Weapon Sweep|Weapon Sweep|Weapon Sweep
jotunn_talent_16|Tectonic Rage|Tectonic Rage|Tectonic Rage|Tectonic Rage|Tectonic Rage|Tectonic Rage|Tectonic Rage|Tectonic Rage
jotunn_talent_17|Splinter of Yggdrasil|Splinter of Yggdrasil|Splinter of Yggdrasil|Splinter of Yggdrasil|Splinter of Yggdrasil|Splinter of Yggdrasil|Splinter of Yggdrasil|Splinter of Yggdrasil
jotunn_talent_18|Ragnarök|Ragnarök|Ragnarök|Ragnarök|Ragnarök|Ragnarök|Ragnarök|Ragnarök
||||||||
jotunn_desc_1|Chance on attack or ability cast to deal additional cold damage and slow enemies.|Chance on attack or ability cast to deal additional cold damage and slow enemies.|Chance on attack or ability cast to deal additional cold damage and slow enemies.|Chance on attack or ability cast to deal additional cold damage and slow enemies.|Chance on attack or ability cast to deal additional cold damage and slow enemies.|Chance on attack or ability cast to deal additional cold damage and slow enemies.|Chance on attack or ability cast to deal additional cold damage and slow enemies.|Chance on attack or ability cast to deal additional cold damage and slow enemies.
jotunn_desc_2|Conjure up a frozen boulder to throw in the facing direction, leaving a trail of frost of the ground dealing damage and slowing enemies.|Conjure up a frozen boulder to throw in the facing direction, leaving a trail of frost of the ground dealing damage and slowing enemies.|Conjure up a frozen boulder to throw in the facing direction, leaving a trail of frost of the ground dealing damage and slowing enemies.|Conjure up a frozen boulder to throw in the facing direction, leaving a trail of frost of the ground dealing damage and slowing enemies.|Conjure up a frozen boulder to throw in the facing direction, leaving a trail of frost of the ground dealing damage and slowing enemies.|Conjure up a frozen boulder to throw in the facing direction, leaving a trail of frost of the ground dealing damage and slowing enemies.|Conjure up a frozen boulder to throw in the facing direction, leaving a trail of frost of the ground dealing damage and slowing enemies.|Conjure up a frozen boulder to throw in the facing direction, leaving a trail of frost of the ground dealing damage and slowing enemies.
jotunn_desc_3|Enemies caught in your cold abilities take additional damage from cold and freeze if they have at least 5 stacks of Permafrost.|Enemies caught in your cold abilities take additional damage from cold and freeze if they have at least 5 stacks of Permafrost.|Enemies caught in your cold abilities take additional damage from cold and freeze if they have at least 5 stacks of Permafrost.|Enemies caught in your cold abilities take additional damage from cold and freeze if they have at least 5 stacks of Permafrost.|Enemies caught in your cold abilities take additional damage from cold and freeze if they have at least 5 stacks of Permafrost.|Enemies caught in your cold abilities take additional damage from cold and freeze if they have at least 5 stacks of Permafrost.|Enemies caught in your cold abilities take additional damage from cold and freeze if they have at least 5 stacks of Permafrost.|Enemies caught in your cold abilities take additional damage from cold and freeze if they have at least 5 stacks of Permafrost.
jotunn_desc_4|Launch a frozen orb that deals AOE damage as it travels in casted direction.|Launch a frozen orb that deals aoe damage as it travels in casted direction.|Launch a frozen orb that deals aoe damage as it travels in casted direction.|Launch a frozen orb that deals aoe damage as it travels in casted direction.|Launch a frozen orb that deals aoe damage as it travels in casted direction.|Launch a frozen orb that deals aoe damage as it travels in casted direction.|Launch a frozen orb that deals aoe damage as it travels in casted direction.|Launch a frozen orb that deals aoe damage as it travels in casted direction.
jotunn_desc_5|Your thick skin reduces damage from all elements, increasing max resists.|Your thick skin reduces damage from all elements, increasing max resists.|Your thick skin reduces damage from all elements, increasing max resists.|Your thick skin reduces damage from all elements, increasing max resists.|Your thick skin reduces damage from all elements, increasing max resists.|Your thick skin reduces damage from all elements, increasing max resists.|Your thick skin reduces damage from all elements, increasing max resists.|Your thick skin reduces damage from all elements, increasing max resists.
jotunn_desc_6|Chance on attack or ability cast to launch an Icicle at the target, dealing damage and reducing their cold resist temporarily.|Chance on attack or ability cast to launch an Icicle at the target, dealing damage and reducing their cold resist temporarily.|Chance on attack or ability cast to launch an Icicle at the target, dealing damage and reducing their cold resist temporarily.|Chance on attack or ability cast to launch an Icicle at the target, dealing damage and reducing their cold resist temporarily.|Chance on attack or ability cast to launch an Icicle at the target, dealing damage and reducing their cold resist temporarily.|Chance on attack or ability cast to launch an Icicle at the target, dealing damage and reducing their cold resist temporarily.|Chance on attack or ability cast to launch an Icicle at the target, dealing damage and reducing their cold resist temporarily.|Chance on attack or ability cast to launch an Icicle at the target, dealing damage and reducing their cold resist temporarily.
jotunn_desc_7|Blinks a short distance forward, landing an ice nova.|Blinks a short distance forward, landing an ice nova.|Blinks a short distance forward, landing an ice nova.|Blinks a short distance forward, landing an ice nova.|Blinks a short distance forward, landing an ice nova.|Blinks a short distance forward, landing an ice nova.|Blinks a short distance forward, landing an ice nova.|Blinks a short distance forward, landing an ice nova.
jotunn_desc_8|Increase your Cold damage based off of your maximum Cold Resist. Additional points increases the cold damage gained.|Increase your Cold damage based off of your maximum Cold Resist. Additional points increases the cold damage gained.|Increase your Cold damage based off of your maximum Cold Resist. Additional points increases the cold damage gained.|Increase your Cold damage based off of your maximum Cold Resist. Additional points increases the cold damage gained.|Increase your Cold damage based off of your maximum Cold Resist. Additional points increases the cold damage gained.|Increase your Cold damage based off of your maximum Cold Resist. Additional points increases the cold damage gained.|Increase your Cold damage based off of your maximum Cold Resist. Additional points increases the cold damage gained.|Increase your Cold damage based off of your maximum Cold Resist. Additional points increases the cold damage gained.
jotunn_desc_9|Call upon a Blizzard to cover enemies in a sleet of frost, dealing damage every second and slowing enemies.|Call upon a Blizzard to cover enemies in a sleet of frost, dealing damage every second and slowing enemies.|Call upon a Blizzard to cover enemies in a sleet of frost, dealing damage every second and slowing enemies.|Call upon a Blizzard to cover enemies in a sleet of frost, dealing damage every second and slowing enemies.|Call upon a Blizzard to cover enemies in a sleet of frost, dealing damage every second and slowing enemies.|Call upon a Blizzard to cover enemies in a sleet of frost, dealing damage every second and slowing enemies.|Call upon a Blizzard to cover enemies in a sleet of frost, dealing damage every second and slowing enemies.|Call upon a Blizzard to cover enemies in a sleet of frost, dealing damage every second and slowing enemies.
jotunn_desc_10|After 5 attacks or ability casts, the Storm Giant releases an AoE storm dealing damage.|After 5 attacks or ability casts, the Storm Giant releases an AoE storm dealing damage.|After 5 attacks or ability casts, the Storm Giant releases an AoE storm dealing damage.|After 5 attacks or ability casts, the Storm Giant releases an AoE storm dealing damage.|After 5 attacks or ability casts, the Storm Giant releases an AoE storm dealing damage.|After 5 attacks or ability casts, the Storm Giant releases an AoE storm dealing damage.|After 5 attacks or ability casts, the Storm Giant releases an AoE storm dealing damage.|After 5 attacks or ability casts, the Storm Giant releases an AoE storm dealing damage.
jotunn_desc_11|Attacks Passively cause elemental damage, activating this ability boosts this damage. Additionally for the duration attacks will inflict random afflictions. Lasts 4 seconds.|Attacks Passively cause elemental damage, activating this ability boosts this damage. Additionally for the duration attacks will inflict random afflictions. Lasts 4 seconds.|Attacks Passively cause elemental damage, activating this ability boosts this damage. Additionally for the duration attacks will inflict random afflictions. Lasts 4 seconds.|Attacks Passively cause elemental damage, activating this ability boosts this damage. Additionally for the duration attacks will inflict random afflictions. Lasts 4 seconds.|Attacks Passively cause elemental damage, activating this ability boosts this damage. Additionally for the duration attacks will inflict random afflictions. Lasts 4 seconds.|Attacks Passively cause elemental damage, activating this ability boosts this damage. Additionally for the duration attacks will inflict random afflictions. Lasts 4 seconds.|Attacks Passively cause elemental damage, activating this ability boosts this damage. Additionally for the duration attacks will inflict random afflictions. Lasts 4 seconds.|Attacks Passively cause elemental damage, activating this ability boosts this damage. Additionally for the duration attacks will inflict random afflictions. Lasts 4 seconds.
jotunn_desc_12|Casting abilities will increase ability damage and auto-attacking increases attack damage, stacking up to 5 times. Utilizing the other side of this ability will reset its stacks.|Casting abilities will increase ability damage and autoattacking increases attack damage, stacking up to 5 times. Utilitzing the other side of this ability will reset its stacks.|Casting abilities will increase ability damage and autoattacking increases attack damage, stacking up to 5 times. Utilitzing the other side of this ability will reset its stacks.|Casting abilities will increase ability damage and autoattacking increases attack damage, stacking up to 5 times. Utilitzing the other side of this ability will reset its stacks.|Casting abilities will increase ability damage and autoattacking increases attack damage, stacking up to 5 times. Utilitzing the other side of this ability will reset its stacks.|Casting abilities will increase ability damage and autoattacking increases attack damage, stacking up to 5 times. Utilitzing the other side of this ability will reset its stacks.|Casting abilities will increase ability damage and autoattacking increases attack damage, stacking up to 5 times. Utilitzing the other side of this ability will reset its stacks.|Casting abilities will increase ability damage and autoattacking increases attack damage, stacking up to 5 times. Utilitzing the other side of this ability will reset its stacks.
jotunn_desc_13|Storm Giant jumps to target direction and deals AoE damage and stuns enemies for 2 seconds.|Storm Giant jumps to target direction and deals AoE damage and stuns enemies for 2 seconds.|Storm Giant jumps to target direction and deals AoE damage and stuns enemies for 2 seconds.|Storm Giant jumps to target direction and deals AoE damage and stuns enemies for 2 seconds.|Storm Giant jumps to target direction and deals AoE damage and stuns enemies for 2 seconds.|Storm Giant jumps to target direction and deals AoE damage and stuns enemies for 2 seconds.|Storm Giant jumps to target direction and deals AoE damage and stuns enemies for 2 seconds.|Storm Giant jumps to target direction and deals AoE damage and stuns enemies for 2 seconds.
jotunn_desc_14|Gain an absorb shield upon activating an ability. Lasts 4 seconds.|Gain an absorb shield upon activating an ability. Lasts 4 seconds.|Gain an absorb shield upon activating an ability. Lasts 4 seconds.|Gain an absorb shield upon activating an ability. Lasts 4 seconds.|Gain an absorb shield upon activating an ability. Lasts 4 seconds.|Gain an absorb shield upon activating an ability. Lasts 4 seconds.|Gain an absorb shield upon activating an ability. Lasts 4 seconds.|Gain an absorb shield upon activating an ability. Lasts 4 seconds.
jotunn_desc_15|Chance on attack to sweep your weapon around you, dealing damage and stunning enemies.|Chance on attack to sweep your weapon around you, dealing damage and stunning enemies.|Chance on attack to sweep your weapon around you, dealing damage and stunning enemies.|Chance on attack to sweep your weapon around you, dealing damage and stunning enemies.|Chance on attack to sweep your weapon around you, dealing damage and stunning enemies.|Chance on attack to sweep your weapon around you, dealing damage and stunning enemies.|Chance on attack to sweep your weapon around you, dealing damage and stunning enemies.|Chance on attack to sweep your weapon around you, dealing damage and stunning enemies.
jotunn_desc_16|Smashes the ground, disrupting the tectonic plates and causing magma to spew from the earth.|Smashes the ground, disrupting the tectonic plates and causing magma to spew from the earth.|Smashes the ground, disrupting the tectonic plates and causing magma to spew from the earth.|Smashes the ground, disrupting the tectonic plates and causing magma to spew from the earth.|Smashes the ground, disrupting the tectonic plates and causing magma to spew from the earth.|Smashes the ground, disrupting the tectonic plates and causing magma to spew from the earth.|Smashes the ground, disrupting the tectonic plates and causing magma to spew from the earth.|Smashes the ground, disrupting the tectonic plates and causing magma to spew from the earth.
jotunn_desc_17|Gain additional damage reduction the lower HP you are.|Gain additional damage reduction the lower hp you are.|Gain additional damage reduction the lower hp you are.|Gain additional damage reduction the lower hp you are.|Gain additional damage reduction the lower hp you are.|Gain additional damage reduction the lower hp you are.|Gain additional damage reduction the lower hp you are.|Gain additional damage reduction the lower hp you are.
jotunn_desc_18|Unleash a build up of the elements, causing massive storms of magma and ice while opening chasms which damage and stun enemies.|Unleash a build up of the elements, causing massive storms of magma and ice while opening chasms which damage and stun enemies.|Unleash a build up of the elements, causing massive storms of magma and ice while opening chasms which damage and stun enemies.|Unleash a build up of the elements, causing massive storms of magma and ice while opening chasms which damage and stun enemies.|Unleash a build up of the elements, causing massive storms of magma and ice while opening chasms which damage and stun enemies.|Unleash a build up of the elements, causing massive storms of magma and ice while opening chasms which damage and stun enemies.|Unleash a build up of the elements, causing massive storms of magma and ice while opening chasms which damage and stun enemies.|Unleash a build up of the elements, causing massive storms of magma and ice while opening chasms which damage and stun enemies.
||||||||
illusionist_talent_1|Sand Guardians||||沙之守护|||
illusionist_talent_2|Call For War||||呼吁战争|||
illusionist_talent_3|Circle of Guardians||||守护之环|||
illusionist_talent_4|Piercing Sand||||刺骨之沙|||
illusionist_talent_5|Link of Sand||||沙之链|||
illusionist_talent_6|Dissipation||||驱散|||
illusionist_talent_7|Spirit Link||||精神纽带|||
illusionist_talent_8|Cheapshot||||恶意中伤|||
illusionist_talent_9|Combat Order||||作战指令|||
illusionist_talent_10|Age Proliferation||||扩散衰老|||
illusionist_talent_11|Gravitation Slam||||重力猛击|||
illusionist_talent_12|Split Reality||||现实分裂|||
illusionist_talent_13|Sands of Time||||时之沙|||
illusionist_talent_14|Time Deceleration||||时间减缓|||
illusionist_talent_15|Dimensional Displacement||||时空闪烁|||
illusionist_talent_16|Precognition||||预知未来|||
illusionist_talent_17|Expansive Mind||||胸襟开阔|||
illusionist_talent_18|Temporal Heroes||||世俗英雄|||
||||||||
illusionist_desc_1|Hitting an enemy with an attack or an ability has a chance to spawn a Sand Guardian which attacks its closest enemy. Sand Guardians cannot move.||||用攻击或异能攻击敌人有机会产生一个沙守护者，攻击最近的敌人。沙守护者不能移动。|||
illusionist_desc_2|The Illusionist throws mystic sand forward marking the spot that it hits, sending all Sand Guardians charging into it.||||魔术师把神秘的沙子扔到前面，标记它击中的地方，让所有的沙子守护者冲进里面。|||
illusionist_desc_3|Creates Sand Guardians in a circle around the Illusionist. Increases Sand Guardian's Damage.||||在魔术师周围创建一个圆圈中的沙子守护者。增加沙守护者的伤害。|||
illusionist_desc_4|The Illusionist and her Sand Guardians have a chance of Piercing their target with Sand causing Wind Break.||||魔术师和她的沙守护者有机会用沙子刺穿他们的目标，从而引起风障。|||
illusionist_desc_5|The Illusionist pulls her self towards the closest Sand Guardian causing the Sand Guardians around her to do a Whirling Attack and become empowered for a short period of time.||||魔术师将自己拉向最近的沙守护者，使她周围的沙守护者进行旋转攻击，并在短时间内获得力量。|||
illusionist_desc_6|Sand Guardians explode upon expiration, causing nearby enemies to take area damage based on the Sand Guardian's damage.||||沙守护者在到期时爆炸，导致附近的敌人受到基于沙守护者伤害的区域伤害。|||
illusionist_desc_7|When pulling her self with [Link of Sand] the Illusionist gains damage reduction for a short period of time.||||当魔术师用[沙链]拉动自己时，会在短时间内获得伤害减免。|||
illusionist_desc_8|Sand Guardians deal increased damage and stun the target when charging.||||沙守护者在冲锋时造成更大的伤害并使目标眩晕。|||
illusionist_desc_9|The Illusionist orders all Sand Guardians to perform a Whirling Attack damaging all enemies around them and causing bleeding.||||魔术师命令所有沙守护者进行旋转攻击，伤害周围的所有敌人并导致流血。|||
illusionist_desc_10|The Chronomancer channels a psychic spell on the enemy quickly aging them, decreasing movement speed and dealing damage over time. This can spread to nearby targets.||||向敌人传送一个心灵咒语，使其迅速老化，降低移动速度，并随着时间的推移造成伤害。这会扩散到附近的目标。|||
illusionist_desc_11|Chance on [Cast] or [Channel] to reverse an enemy's gravity upon impact causing them to float momentarily and then smash into the ground dealing AOE damage.||||技能和普攻使攻击到的敌人翻转重力，使其瞬间漂浮，然后撞向地面造成AOE伤害。|||
illusionist_desc_12|Chance on being hit to split dimensions leaving your previous self to be focused upon. All damage taken for 2 seconds will heal the Chronomancer over 2 seconds.||||被击中的机会分裂空间，留下以前的分身。持续2秒的所有伤害将在2秒内治愈。|||
illusionist_desc_13|Every [Cast] and [Channel] has a chance to reduce all active cooldown's of the Chronomancer and nearby allies.||||技能和普攻都有机会减少你和附近盟友的所有有效冷却时间。|||
illusionist_desc_14|The Chronomancer slows all nearby enemies around her increasing the tick frequency of [DOT] abilities for 5 seconds.||||减慢周围所有敌人的速度，增加伤害型技能的冷却效率5秒。|||
illusionist_desc_15|Distort the spatial dimensions surrounding the Chronomancer altering her location and reducing damage taken for 3 seconds.||||扭曲周围的空间维度，改变她的位置，减少3秒的伤害。|||
illusionist_desc_16|Grants all allies increased Block, Dodge and Elemental Damage while near the Chronomancer.||||给予附近所有盟友增加格挡、闪避和元素伤害。|||
illusionist_desc_17|The knowledge of the Chronomancer's predecessors increase her channeling speed while using [Two-Handed Weapons] or [Ability Power] when using [One-Handed Weapons].||||双手武器提高技能冷却效率;单手武器提高技能伤害|||
illusionist_desc_18|Calls forth a legendary Hero from Tarethiel's past to fight for the Chronomancer for a short time.||||召唤一位来自塔雷希尔过去的传奇英雄短暂作战。|||
||||||||
error_talent_1|Error|Virhe|Erro|Ошибка|错误|エラー|오류|Error
error_desc_1|Inflicts madness on every programmer!|Aiheuttaa hulluutta jokaiselle ohjelmoijalle!|Inflige a loucura em todo programador!|Inflicts madness on every programmer!|让每一个程序员都感到疯狂!|すべてのプログラマーに狂気を与えます。|Inflicts madness on every programmer!|Bringt jeden Programmierer in den Wahnsinn!
||||||||
tree_1_0|Shield Bearer|Kilvenkäyttäjä|Portador de Escudo|Щитоносец|持盾者|シールドベアラー|방패 무기명|Schildknappe
tree_2_0|Berserker|Raivopää|Berserker|Берсерк|狂战士|バーサーカー|맹렬한|Berserker
tree_1_1|Flame Diviner|Tuliennustaja|Adivinho Flamejante|Прорицатель|火神|炎の占い師|화염 분배기|Flammenwahrsager
tree_2_1|Arsonist|Tuhopolttaja|Incendiário|Поджигатель|纵火犯|放火犯|방화범|Brandstifter
tree_1_2|Sharpshooter|Tarkka-ampuja|Atirador afiado|Снайпер|神枪手|シャープシューター|명사수|Scharfschütze
tree_2_2|Engineer|Nikkaroija|Engenheiro|Инженер|工程师|エンジニア|공학자|Ingenieur
tree_1_3|Gunner|Ampuja|Artilheiro|Канонир|炮手|砲手|포수|Kanonier
tree_2_3|Plunderer|Laivojenupottaja|Saqueador|Расхитительница|强盗|略奪者|약탈자|Plünderer
tree_1_4|Wanderer|Vaeltaja|Andarilho|Странник|流浪者|放浪者|뜨내기|Wanderer
tree_2_4|Vagabond|Kiertolainen|Vagabundo|Скиталец|流浪汉|バガボンド|부랑자|Vagabund
tree_1_5|Hillbilly|Punaniska|Caipira|Деревенщина|乡巴佬|ヒルビリー|힐 빌리|Hinterwäldler
tree_2_5|Logger|Puunhakkaaja|Marmota|Дровосек|伐木工|ロガー|나무꾼|Logger
tree_1_6|Venomancer|Myrkyttäjä|Envenenador|Веномансер|剧毒术士|ヴェノマンサー|맹독 사|Giftmischer
tree_2_6|Lord of the Dead|Kuolleiden Ruhtinas|Senhor dos Mortos|Владыка Мертвых|死神|死者の主|죽음의 군주|Herr der Toten
tree_1_7|Ronin|Yksinäinen Susi|Ronin|Ронин|浪客|浪人|로닌|Ronin
tree_2_7|Emperor's Blade|Keisarin Miekka|Lâmina do Imperador|Меч Императора|帝王之剑|皇帝の刃|황제의 칼날|Klinge des Kaisers
tree_1_8|Justiciar|Oikeuttaja|Juiz|Праведный|司法者|司法|정당한|Justiziar
tree_2_8|Lionheart|Leijonasydän|Coração de Leão|Бесстрашный|狮心王|ライオンハート|사자의 심장|Löwenherz
tree_1_9|Huntress|Metsästäjä|Caçadora|Охотница|女猎手|狩人|여자 사냥꾼|Jägerin
tree_2_9|Valkyrie|Valkyria|Valquíria|Валькирия|女武神|ヴァルキリー|발키리|Walküre
tree_1_10|Gunslinger|Pyssysankari|Pistoleiro|Бандит|枪手|ガンスリンガー|건슬링거|Revolverheld
tree_2_10|Executioner|Teloittaja|Carrasco|Палач|刽子手|死刑執行人|실행자|Henker
tree_1_11|Bone Conjurer|Luidentekijä|Conjurador de Ossos|Заклинатель Костей|骨魔术师|ボーンコンジュラー|뼈 요술사|Knochenbeschwörer
tree_2_11|Blood Lord|Veren Ruhtinas|Senhor do Sangue|Кровавый Лорд|鲜血领主|ブラッドロード|블러드로드|Blutlord
tree_1_12|Poo|Kakka|Poo|Какаха|Poo|Poo|Poo|Poo
tree_2_12|Poo|Kakka|Poo|Какаха|Poo|Poo|Poo|Poo
tree_1_13|Elementalist|Elementalisti|Elementalista|Повелитель Стихий|元素师|エレメンタリスト|엘리멘탈리스트|Elementalist
tree_2_13|Chieftain|Johtaja|Chefe|Вождь|酋长|チーフテン|지도자|Häuptling
tree_1_14|Zealot|Kiihkoilija|Fanático|Фанатик|狂热者|ジーロット|질럿|Eiferer
tree_2_14|Divine Being|Taivaallinen Olemus|Ser Divino|Божественная Сущность|神灵|神の存在|신성한 존재|Göttliches Wesen
tree_1_15|Juggernaut|Pysäyttämätön Voima|Juggernaut|Джаггернаут|剑圣|ジャガーノート|절대적인 힘|Moloch
tree_2_15|Gladiator|Gladiaattori|Gladiador|Гладиатор|角斗士|剣闘士|검투사|Gladiator
tree_1_16|Sanguine Physician|Sangviininen Tohtori|Médico Sanguíneo|Флеботомист|血缘医师|血統の医師|상귀 인 의사|Heiterer Arzt
tree_2_16|Plague Caller|Rutonkutsuja|Chamador de Peste|Предвестник Чумы|瘟疫召唤者|ペストコーラー|역병 발신자|Pestrufer
tree_1_17|Champion|Sotamestari|Campeão|Чемпион|冠军|チャンピオン|챔피언|Champion
tree_2_17|Knight|Ritari|Cavaleiro|Рыцарь|骑士|騎士|기사|Ritter
tree_1_18|Son of Ymir|Son of Ymir|Son of Ymir|Son of Ymir|伊米尔之子|Son of Ymir|Son of Ymir|Son of Ymir
tree_2_18|Storm Giant|Storm Giant|Storm Giant|Storm Giant|风暴巨人|Storm Giant|Storm Giant|Storm Giant
tree_1_19|Sand Manipulator|Sand Manipulator|Sand Manipulator|Sand Manipulator|沙之操纵者|Sand Manipulator|Sand Manipulator|Sand Manipulator
tree_2_19|Chronomancer|Chronomancer|Chronomancer|Chronomancer|时空领主|Chronomancer|Chronomancer|Chronomancer
[hero_talents]||||||||
hero_header_1|Warrior's Blessing|Warrior's Blessing|Warrior's Blessing|Warrior's Blessing|勇士的祝福|Warrior's Blessing|Warrior's Blessing|Warrior's Blessing
hero_header_2|Mystic Knowledge|Mystic Knowledge|Mystic Knowledge|Mystic Knowledge|神秘知识|Mystic Knowledge|Mystic Knowledge|Mystic Knowledge
hero_header_3|Huskar's Blood|Huskar's Blood|Huskar's Blood|Huskar's Blood|胡斯卡的血|Huskar's Blood|Huskar's Blood|Huskar's Blood
hero_header_4|Knight's Vow|Knight's Vow|Knight's Vow|Knight's Vow|骑士之誓|Knight's Vow|Knight's Vow|Knight's Vow
hero_header_5|Shielding Might|Shielding Might|Shielding Might|Shielding Might|护卫之力|Shielding Might|Shielding Might|Shielding Might
hero_header_6|Evasion|Evasion|Evasion|Evasion|躲避|Evasion|Evasion|Evasion
hero_header_7|Fatal Strike|Fatal Strike|Fatal Strike|Fatal Strike|致命一击|Fatal Strike|Fatal Strike|Fatal Strike
hero_header_8|God's Wrath|God's Wrath|God's Wrath|God's Wrath|上帝的愤怒|God's Wrath|God's Wrath|God's Wrath
hero_header_9|Ancient Thorn's|Ancient Thorn's|Ancient Thorn's|Ancient Thorn's|古荆棘|Ancient Thorn's|Ancient Thorn's|Ancient Thorn's
hero_header_10|Shockwave|Paineaalto|Onda de Choque|Ударная волна|冲击波|ショック・ウェーブ|충격파|Stoßwelle
hero_header_11|Meteor|Meteori|Meteoro|Метеорит|陨石|メテオ|메테오|Meteor
hero_header_12|Divine Shield|Jumalainen kilpi|Escudo divino|Божественный Щит|神圣之盾|神の盾|신성한 방패|Göttlicher Schild
hero_header_13|Rupture|Revähdytys|Ruptura|Глубокие Раны|破裂|破裂|장기 파열|Bruch
hero_header_14|Burning|Palaminen|Queimando|Воспламенение|燃烧|燃焼|타고 있는|Verbrennung
hero_header_15|Master Poisoner|Mestarimyrkyttäjä|Mestre Envenenador|Специалист по Ядам|毒药大师|マスター・ポイズナー|독 전문가|Meister der Giftmischerei
hero_header_16|Assassin's Focus|Assassin's Focus|Assassin's Focus|Assassin's Focus|刺客的焦点|Assassin's Focus|Assassin's Focus|Assassin's Focus
hero_header_17|Fleet Footwork|Fleet Footwork|Fleet Footwork|Fleet Footwork|迅捷步伐|Fleet Footwork|Fleet Footwork|Fleet Footwork
hero_header_18|Hail of Blades|Hail of Blades|Hail of Blades|Hail of Blades|冰雹碎片|Hail of Blades|Hail of Blades|Hail of Blades
hero_header_19|Vitality of Colossus|Vitality of Colossus|Vitality of Colossus|Vitality of Colossus|巨像之力|Vitality of Colossus|Vitality of Colossus|Vitality of Colossus
hero_header_20|Wizard's Intellect|Wizard's Intellect|Wizard's Intellect|Wizard's Intellect|巫师的智慧|Wizard's Intellect|Wizard's Intellect|Wizard's Intellect
hero_header_21|Vagabond's Might|Vagabond's Might|Vagabond's Might|Vagabond's Might|流浪汉的力量|Vagabond's Might|Vagabond's Might|Vagabond's Might
hero_header_22|Experiency|Experiency|Experiency|Experiency|经验|Experiency|Experiency|Experiency
hero_header_23|Archeology|Archeology|Archeology|Archeology|青铜挥麈|Archeology|Archeology|Archeology
hero_header_24|Resistancy|Resistancy|Resistancy|Resistancy|Resistancy|Resistancy|Resistancy|Resistancy
hero_header_25|Burst Shot|Räjähtävä laukaus|Explosão de Tiros|Взрывной выстрел|爆发式射击|バースト・ショット|버스트 샷|Berstender Schuss
hero_header_26|Multishot|Monilaukaus|Multitiros|Мультивыстрел|多重扫射|マルチショット|멀티 샷|Mehrfachschuss
hero_header_27|Oversized|Ylisuurennus|Muito Grande|Огромный размер|超大|オーバーサイズ|거대화|Überdimensioniert
hero_header_28|Warlord's Might|Warlord's Might|Warlord's Might|Warlord's Might|魔王的力量|Warlord's Might|Warlord's Might|Warlord's Might
hero_header_29|Grandwizard's Spellpower|Grandwizard's Spellpower|Grandwizard's Spellpower|Grandwizard's Spellpower|大巫师的魔力|Grandwizard's Spellpower|Grandwizard's Spellpower|Grandwizard's Spellpower
hero_header_30|Holy Knight's Vital|Holy Knight's Vital|Holy Knight's Vital|Holy Knight's Vital|神圣骑士的生命|Holy Knight's Vital|Holy Knight's Vital|Holy Knight's Vital
||||||||
hero_talent_1|Increases your Strength|Nostaa voimaasi|Aumenta sua Força|Увеличивает Силу|增加你的力量|あなたの強さを増加|힘을 올리세요|Erhöht deine Stärke
hero_talent_2|Increases your Energy|Increases your Energy|Increases your Energy|Increases your Energy|增加你的能量|Increases your Energy|Increases your Energy|Increases your Energy
hero_talent_3|Increases your Stamina|Increases your Stamina|Increases your Stamina|Increases your Stamina|增加你的耐力|Increases your Stamina|Increases your Stamina|Increases your Stamina
hero_talent_4|Increases your Armor|Increases your Armor|Increases your Armor|Increases your Armor|增加你的护甲|Increases your Armor|Increases your Armor|Increases your Armor
